id,player_id,pff_player_id,player_name,team_name,position,season,current_primary_grade
65f8608a-36ee-42c9-b732-2f05f20c2ed9,a67dd222-223c-40ae-948a-0751c2ccf42c,-875318676,Tayvon Nelson,Marshall,CB,2025,
a37db794-c8d0-4583-a789-a53ca9b75f60,6b2ff981-61b5-46c7-ae15-b0f1b0c63e2f,-998648929,Tyrell Mims,,CB,2025,
c9675aef-8379-46fa-ac1f-e9dbbec5b946,760a5ced-8d05-4655-adc2-896036493263,-4336695,Tyson Durant,,CB,2025,
0e42e27f-ccad-47a9-868a-08af31dc8f17,6f8b6e31-7755-44f0-b7b4-a638df3ce921,-1498124151,Uriah Points,Liberty,CB,2025,
7f303448-9852-4f7a-affe-ed1a2145aa9b,115b627f-e078-4984-8385-6a95a11355b9,-573294846,Yasir Muhammad,UNLV,CB,2025,
4d8d0964-56e5-4c7b-bb60-56e307dfa4e7,76ac8401-7691-41aa-a70b-84c3cd817e2e,-1186102087,Zah'eed Pierre,Eastern Michigan,CB,2025,
be2966f3-267c-4199-bf23-444590fd48c6,0ea47bb6-7989-4165-8d3c-3eee61c42dd1,-51795281,Zakaa Brown,,CB,2025,
9af905ef-7352-4168-b416-fd4174278dcd,f109267b-ce1b-4241-95e9-0855cb480302,-618904426,Aaron Armitage,Florida International,DL,2025,
73810c36-afab-4b26-aac1-0c89c44191ef,3557bd67-7f4d-44a2-9fdb-255781a1f91a,-103996342,Blair Alexander,,DL,2025,
babc1fe7-3560-4c24-8d02-2af454beca93,5aa4ac1e-ddb2-48b0-963b-40d24360f0af,-380397841,Branden Palmer,Georgia Southern,DL,2025,
680088e1-1d5c-4bdb-b484-ddd593e54f53,3ec82629-dbba-4f21-9f87-0409cf6c46ec,-643555595,Brien Taylor,Florida,DL,2025,
961b5695-d782-4ab6-92d1-770318e8fb1b,8a30bad7-3774-4cbb-acca-0222e3b87774,-569621011,Casey Fua'au,,DL,2025,
5a9ab373-8c13-4bd5-a610-35e375b5dfde,5eeaaf5f-2c1e-4a39-811b-76e217497cb3,-1592369396,Charlie Leota,Texas State,DL,2025,
6832e415-e3f8-4e7a-bedd-3e16b8272821,4128f046-c393-442c-93ad-9a7fa9b85369,-1805748837,Cole Sigler,,DL,2025,
ee78844a-646b-4149-98a2-295b8eae295e,741b489a-d558-40c0-abce-38ec444b69a6,-291164246,Delano Brown,UConn,DL,2025,
7b7e32c3-1c26-4b7c-81d4-4df1d4153882,5c734183-50f4-48bd-a057-c6914f7e9e95,-279242698,Dinellson Exume,South Florida,DL,2025,
bc5fa147-93d0-4d53-83f0-f13975b83ed9,f78af535-a962-4437-b31c-420ee539ee75,-1067633727,Donovan Nevils,Memphis,DL,2025,
21ad9071-b40b-45ab-b993-116d603ddfd0,8adee5af-55f3-4f98-822e-a1b44430c136,-848606091,Donquarius Parker,North Carolina Central,DL,2025,
a30ddd9f-4fb5-4ace-8f65-677b63832c4d,a4225e6c-5ccb-4757-9d2b-f0b0de4b9134,-998956206,Finn Walters,Indiana,DL,2025,
6e9e6df3-43a6-4b9d-8fc1-e96b813325e2,034988b7-7b21-4948-9757-67c08e35cf04,-1409458929,Fitzgerald West,Louisiana,DL,2025,
8fa598b7-0cb0-4ae2-9448-3e43e73edf47,6e2c505e-8237-4495-9f70-872f002b704a,-633683326,Henry Hicks,Elizabeth City State,DL,2025,
8607a0cd-9c80-4f21-ae7d-c450b9da59e7,8df27c3e-9e88-4c94-8af4-b1c75e89f8c8,-1121069892,Jack Dunkley,Duquesne,DL,2025,
f27d91ac-41a1-44e3-a19f-2d7b429b1474,3bb804df-ab31-4585-a657-71f5a65b39e5,-387902840,Jack Metzler,Fresno State,DL,2025,
3b40b47a-2c67-4884-bf4b-bf07a96035fe,b18d78f7-e3af-4fff-a851-1d9fe2132f9a,-1697669364,Jameil Hamm,Miami (OH),DL,2025,
705f87d0-b4bb-4e56-b673-66be63755a68,1c1ccebd-7132-4a91-8b6e-17c09e9df36f,-1902183291,Javen Johnson,Coastal Carolina,DL,2025,
b618a2f7-9cf9-4e67-83b9-996e15a31dc0,ba43e888-c498-4283-a1f6-f8bca4ae9806,-74717416,Jaxon Lee,Tulsa,DL,2025,
e131a083-72d5-4b45-9f4b-f83f3cce8448,a2d934ba-474a-492c-891d-17b2def91a6b,-1164534638,Jerald James,James Madison,DL,2025,
b74b85a7-35cb-4169-b5f8-0dde80567839,bfc7fce7-722a-4974-bfcd-b59a320c0388,-416612509,Kavion Benton,Memphis,DL,2025,
eff98d9e-a268-40c9-b76f-3bfc53cbe126,ea94d186-2f2b-469d-969c-03c865be2002,-1221376860,Maxwell Roy,Ohio State,DL,2025,
251ef06e-0f40-4a5b-9fce-3e071c187d45,8eea2750-ce61-4bb0-8873-65e2af6e31e6,-919058694,Nick Norris,Oregon State,DL,2025,
e2325621-11c4-466f-8d98-1d374dcc6309,4f4ff652-31a7-4a10-bc7f-23e1686e77e0,-1952633650,Nolan Korzeniowski,,DL,2025,
782f6c9e-d9ff-427a-bff4-959a8832ed56,aba21f30-7e30-484b-817c-a7dfb41957ef,-148680890,Nykobi Brown,UConn,DL,2025,
fea243c1-6d54-4894-84f7-91ecbcd468db,542e82d0-234a-4cdb-a656-e3058e18d4e9,-350040326,Sidney Dupuy,San Diego State,DL,2025,
4030be21-81bd-42b6-ba4d-2b30c54ecadc,8fc46549-06c8-4b41-8f08-9b342766e02d,-1243439591,Tiumalu Afalava,San Diego State,DL,2025,
